,State,District,State-District,Center,"House Science, Space and Technology Committee",House Space and Aeronautics Subcommittee,House CJS,HouseCommitties,Award,Zip,Center_Abbreviation,Center_Name,NatLog_Award,Log10_Award
118,GA,5,GA-5,0.0,0.0,0.0,0.0,0.0,79284.327,0.0,,,11.280795746222882,4.899187344062273
119,GA,6,GA-6,0.0,0.0,0.0,0.0,0.0,825.005,0.0,,,6.7153894469223765,2.9164565806297182
120,GA,7,GA-7,0.0,0.0,0.0,0.0,0.0,2839.2829999999994,0.0,,,7.95130683449192,3.4532086821394534
121,GA,8,GA-8,0.0,0.0,0.0,0.0,0.0,1084.452,0.0,,,6.9888300692597625,3.035210334039036
122,GA,9,GA-9,0.0,0.0,0.0,0.0,0.0,119.99700000000001,0.0,,,4.787466742469541,2.079170388549858
123,GA,10,GA-10,0.0,0.0,0.0,0.0,0.0,6341.536,0.0,,,8.754876289381697,3.8021944622240875
124,GA,11,GA-11,0.0,0.0,0.0,0.0,0.0,4687.088,0.0,,,8.452566773082488,3.6709031074685
125,GA,12,GA-12,0.0,0.0,0.0,0.0,0.0,56.608,0.0,,,4.036150317977374,1.752877811229629
126,GA,13,GA-13,0.0,0.0,0.0,0.0,0.0,133.20600000000002,0.0,,,4.891896802136836,2.124523787208192
127,GA,14,GA-14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0
128,HI,1,HI-1,0.0,0.0,0.0,1.0,1.0,113973.81300000002,0.0,,,11.643723990462814,5.056805077862511
129,HI,2,HI-2,0.0,0.0,0.0,0.0,0.0,30333.235,0.0,,,10.319999255067382,4.481918729721433
130,IA,1,IA-1,0.0,0.0,0.0,0.0,0.0,12573.039,0.0,,,9.439310038473362,4.099440262682953
131,IA,2,IA-2,0.0,0.0,0.0,0.0,0.0,28401.445000000003,0.0,,,10.25419530313663,4.453340436510481
132,IA,3,IA-3,0.0,0.0,0.0,0.0,0.0,6.369,0.0,,,1.8514424713892288,0.8040712488856612
133,IA,4,IA-4,0.0,0.0,0.0,0.0,0.0,7254.8,0.0,,,8.889418597743267,3.860625444328044
134,ID,1,ID-1,0.0,0.0,0.0,0.0,0.0,15049.078000000005,0.0,,,9.619072005841929,4.177509893167194
135,ID,2,ID-2,0.0,0.0,0.0,0.0,0.0,6912.471000000001,0.0,,,8.841082450523418,3.8396333223139996
136,IL,1,IL-1,0.0,0.0,0.0,0.0,0.0,21416.559999999994,0.0,,,9.971919733532205,4.330749714255183
137,IL,2,IL-2,0.0,0.0,0.0,0.0,0.0,86.87799999999999,0.0,,,4.464504835662828,1.9389098145587504
138,IL,3,IL-3,0.0,1.0,0.0,0.0,1.0,298.54,0.0,,,5.698903927205094,2.4750025284819435
139,IL,4,IL-4,0.0,0.0,0.0,0.0,0.0,8.97,0.0,,,2.1938856760707046,0.9527924430440922
140,IL,5,IL-5,0.0,0.0,0.0,0.0,0.0,163.52300000000002,0.0,,,5.096953653226695,2.213578846112974
141,IL,6,IL-6,0.0,0.0,0.0,0.0,0.0,1996.0179999999998,0.0,,,7.598909474866819,3.3001644534169965
142,IL,7,IL-7,0.0,0.0,0.0,0.0,0.0,6777.727999999999,0.0,,,8.821397221529965,3.8310841359871413
143,IL,8,IL-8,0.0,0.0,0.0,0.0,0.0,4373.625,0.0,,,8.383347463679323,3.640841543353552
144,IL,9,IL-9,0.0,0.0,0.0,0.0,0.0,19617.099000000006,0.0,,,9.88415686285987,4.292634783806198
145,IL,10,IL-10,0.0,0.0,0.0,0.0,0.0,1774.7270000000005,0.0,,,7.481401887263749,3.2491315565392203
146,IL,11,IL-11,0.0,1.0,0.0,0.0,1.0,1277.165,0.0,,,7.152398056769555,3.106247008430559
147,IL,12,IL-12,0.0,0.0,0.0,0.0,0.0,198.28400000000002,0.0,,,5.289700346440923,2.297287671381012
148,IL,13,IL-13,0.0,0.0,0.0,0.0,0.0,65954.28900000003,0.0,,,11.09671719014759,4.819243042922056
149,IL,14,IL-14,0.0,0.0,0.0,0.0,0.0,375.399,0.0,,,5.927989460323607,2.5744931113991787
150,IL,15,IL-15,0.0,0.0,0.0,0.0,0.0,1707.2160000000001,0.0,,,7.442619252574799,3.23228847230014
151,IL,16,IL-16,0.0,0.0,0.0,0.0,0.0,292.91700000000003,0.0,,,5.6798892924362026,2.4667445775264083
152,IL,17,IL-17,0.0,0.0,0.0,0.0,0.0,93.119,0.0,,,4.533878245093851,1.9690383034654586
153,IL,18,IL-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
154,IN,1,IN-1,0.0,0.0,0.0,0.0,0.0,40.002,0.0,,,3.688929452863978,1.6020817055092076
155,IN,2,IN-2,0.0,0.0,0.0,0.0,0.0,2703.158,0.0,,,7.902175998138212,3.4318714310197462
156,IN,3,IN-3,0.0,0.0,0.0,0.0,0.0,2292002.5430000005,0.0,,,14.644936466327495,6.36021509514974
157,IN,4,IN-4,0.0,1.0,0.0,0.0,1.0,50561.945,0.0,,,10.83095449722639,4.70382377189063
158,IN,5,IN-5,0.0,0.0,0.0,0.0,0.0,34.742,0.0,,,3.5479493296797315,1.5408548159522486
159,IN,6,IN-6,0.0,0.0,0.0,0.0,0.0,110.524,0.0,,,4.705232691944618,2.0434565941823304
160,IN,7,IN-7,0.0,0.0,0.0,0.0,0.0,5935.541,0.0,,,8.688713457059656,3.773460309239536
161,IN,8,IN-8,0.0,0.0,0.0,0.0,0.0,141311.355,0.0,,,11.858720926378034,5.150177060756599
162,IN,9,IN-9,0.0,0.0,0.0,0.0,0.0,29300.574999999993,0.0,,,10.285362419385978,4.46687614311441
163,KS,1,KS-1,0.0,1.0,0.0,0.0,1.0,1369.656,0.0,,,7.22231489240206,3.1366115043378926
164,KS,2,KS-2,0.0,0.0,0.0,0.0,0.0,10010.393,0.0,,,9.211379132277845,4.000451127867032
165,KS,3,KS-3,0.0,0.0,0.0,0.0,0.0,42534.467000000004,0.0,,,10.658070014474532,4.628740995024801
166,KS,4,KS-4,0.0,0.0,0.0,0.0,0.0,7516.726999999999,0.0,,,8.924886082838041,3.8760287773916895
167,KY,1,KY-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
168,KY,2,KY-2,0.0,0.0,0.0,0.0,0.0,999.3,0.0,,,6.907055033867744,2.999695887410839
169,KY,3,KY-3,0.0,0.0,0.0,0.0,0.0,2408.616,0.0,,,7.78680758766739,3.381767566966319
170,KY,4,KY-4,0.0,0.0,0.0,0.0,0.0,567.4380000000001,0.0,,,6.3411314922859,2.753918416122699
171,KY,5,KY-5,0.0,0.0,0.0,0.0,0.0,4652.389,0.0,,,8.445136130091011,3.6676760202203087
172,KY,6,KY-6,0.0,0.0,0.0,0.0,0.0,20838.686,0.0,,,9.944566442056036,4.318870330705191
173,LA,1,LA-1,0.0,0.0,0.0,0.0,0.0,4936.250999999998,0.0,,,8.504361415183771,3.693397234725241
174,LA,2,LA-2,0.0,0.0,0.0,0.0,0.0,11266.618999999999,0.0,,,9.32959956202482,4.051793608154374
175,LA,3,LA-3,0.0,0.0,0.0,0.0,0.0,604.23,0.0,,,6.403954920152899,2.781202284179584
176,LA,4,LA-4,0.0,0.0,0.0,0.0,0.0,18562.431,0.0,,,9.82889497836643,4.268634852311122
177,LA,5,LA-5,0.0,0.0,0.0,0.0,0.0,62.04,0.0,,,4.127779338308338,1.7926717891415673
178,LA,6,LA-6,0.0,0.0,0.0,0.0,0.0,8082.536999999999,0.0,,,8.997461087380636,3.9075477013886415
179,MA,1,MA-1,0.0,0.0,0.0,0.0,0.0,3397.6889999999994,0.0,,,8.130850773617128,3.531183624160705
180,MA,2,MA-2,0.0,0.0,0.0,0.0,0.0,15856.96,0.0,,,9.671363799641137,4.200219930663013
181,MA,3,MA-3,0.0,0.0,0.0,0.0,0.0,183041.42,0.0,,,12.117467745010611,5.2625493762987485
182,MA,4,MA-4,0.0,0.0,0.0,0.0,0.0,10004.054,0.0,,,9.210745689823804,4.000176027304639
183,MA,5,MA-5,0.0,0.0,0.0,0.0,0.0,1274461.9969999995,0.0,,,14.058034684385913,6.105326889833324
184,MA,6,MA-6,0.0,0.0,0.0,0.0,0.0,41811.40099999998,0.0,,,10.640924332519175,4.621294719963121
185,MA,7,MA-7,0.0,0.0,0.0,0.0,0.0,228084.21599999975,0.0,,,12.337470208157907,5.3580952320487425
186,MA,8,MA-8,0.0,0.0,0.0,0.0,0.0,10335.796,0.0,,,9.243368488985503,4.014343928964803
187,MA,9,MA-9,0.0,0.0,0.0,0.0,0.0,47559.87999999998,0.0,,,10.769744827672856,4.677240750164409
188,MD,1,MD-1,0.0,0.0,0.0,0.0,0.0,17810.208,0.0,,,9.787527055047628,4.250668991485969
189,MD,2,MD-2,0.0,0.0,0.0,0.0,0.0,8251.739000000001,0.0,,,9.01817924499487,3.9165454829157063
190,MD,3,MD-3,1.0,0.0,0.0,0.0,0.0,2660546.0899999985,20723.0,APL,NASA Management Office at APL,14.794041956679818,6.424970786831231
191,MD,4,MD-4,0.0,0.0,0.0,0.0,0.0,358983.766,0.0,,,12.791032446392249,5.555074809313605
192,MD,5,MD-5,1.0,0.0,0.0,0.0,0.0,14841108.27799999,20771.0,GSFC,Goddard Space Flight Center,16.51291147472089,7.171466333628171
193,MD,6,MD-6,0.0,0.0,0.0,0.0,0.0,21760.321999999996,0.0,,,9.98784349865451,4.337665317578923
194,MD,7,MD-7,0.0,0.0,0.0,0.0,0.0,3349252.1989999996,0.0,,,15.024247654703919,6.524947851185785
195,MD,8,MD-8,0.0,0.0,0.0,0.0,0.0,85246.08100000003,0.0,,,11.353297423414594,4.930674422395365
196,ME,1,ME-1,0.0,0.0,0.0,0.0,0.0,21581.144,0.0,,,9.97957524945523,4.334074462576674
197,ME,2,ME-2,0.0,0.0,0.0,0.0,0.0,5017.3229999999985,0.0,,,8.520651803516124,3.7004720604860433
198,MI,1,MI-1,0.0,0.0,0.0,0.0,0.0,26604.308000000005,0.0,,,10.188828436543732,4.424951967049879
199,MI,2,MI-2,0.0,0.0,0.0,0.0,0.0,377.20200000000006,0.0,,,5.932780852972181,2.576573986787086
200,MI,3,MI-3,0.0,0.0,0.0,0.0,0.0,694.7570000000002,0.0,,,6.543562144138606,2.8418329311904076
201,MI,4,MI-4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0
202,MI,5,MI-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
203,MI,6,MI-6,0.0,0.0,0.0,0.0,0.0,2575.893,0.0,,,7.853951549094467,3.410927818907224
204,MI,7,MI-7,0.0,0.0,0.0,0.0,0.0,3744.417,0.0,,,8.228021209600518,3.573384208312425
205,MI,8,MI-8,0.0,0.0,0.0,0.0,0.0,12302.088,0.0,,,9.417524283051135,4.089978829318985
206,MI,9,MI-9,0.0,0.0,0.0,0.0,0.0,3332.3260000000005,0.0,,,8.111425837636451,3.5227474816529734
207,MI,10,MI-10,0.0,0.0,0.0,0.0,0.0,63.458,0.0,,,4.150378269742875,1.8024863803604967
208,MI,11,MI-11,0.0,1.0,0.0,0.0,1.0,8264.143,0.0,,,9.019681314618785,3.9171978234648064
209,MI,12,MI-12,0.0,0.0,0.0,0.0,0.0,205475.57000000004,0.0,,,12.233082425072958,5.312760193876835
210,MI,13,MI-13,0.0,0.0,0.0,0.0,0.0,3158.8809999999994,0.0,,,8.057973129943766,3.4995332656592524
211,MI,14,MI-14,0.0,0.0,0.0,1.0,1.0,965.342,0.0,,,6.872482442697748,2.9846812018406133
212,MN,1,MN-1,0.0,0.0,0.0,0.0,0.0,959.85,0.0,,,6.866777022253579,2.9822033692247722
213,MN,2,MN-2,0.0,0.0,0.0,0.0,0.0,1813.0720000000001,0.0,,,7.502777923148874,3.258415050969096
